Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US18140,18140,"Columbus, OH Metro Area",1901974,1902015,1994536
310M200US18580,18580,"Corpus Christi, TX Metro Area",428185,428188,448108
310M200US18700,18700,"Corvallis, OR Metro Area",85579,85581,86316
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,258042
310M200US19060,19060,"Cumberland, MD-WV Metro Area",103299,103299,100530
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426210,6954330
310M200US19140,19140,"Dalton, GA Metro Area",142227,142227,142952
310M200US19180,19180,"Danville, IL Metro Area",81625,81625,79728
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,182265,200111
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,383030
310M200US19380,19380,"Dayton, OH Metro Area",799232,799216,800836
310M200US19460,19460,"Decatur, AL Metro Area",153829,153825,153084
310M200US19500,19500,"Decatur, IL Metro Area",110768,110768,108350
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,609939
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2543482,2543594,2754258
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",569633,569633,611549
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4296611
310M200US20020,20020,"Dothan, AL Metro Area",145639,145639,148095
310M200US20100,20100,"Dover, DE Metro Area",162310,162344,171987
310M200US20220,20220,"Dubuque, IA Metro Area",93653,93653,96370
310M200US20260,20260,"Duluth, MN-WI Metro Area",279771,279771,280218
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",504357,506634,542710
310M200US20700,20700,"East Stroudsburg, PA Metro Area",169842,169842,166314
310M200US20740,20740,"Eau Claire, WI Metro Area",161151,161390,165024
310M200US20940,20940,"El Centro, CA Metro Area",174528,174528,179091
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",148338,148339,151585
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",197559,197561,201971
310M200US21300,21300,"Elmira, NY Metro Area",88830,88830,87770
310M200US21340,21340,"El Paso, TX Metro Area",804123,804123,836698
310M200US21500,21500,"Erie, PA Metro Area",280566,280566,278443
310M200US21660,21660,"Eugene, OR Metro Area",351715,351715,358337
310M200US21780,21780,"Evansville, IN-KY Metro Area",311552,311552,315162
310M200US21820,21820,"Fairbanks, AK Metro Area",97581,97581,99357
310M200US22020,22020,"Fargo, ND-MN Metro Area",208777,208777,228291
310M200US22140,22140,"Farmington, NM Metro Area",130044,130045,123785
310M200US22180,22180,"Fayetteville, NC Metro Area",366383,366383,377939
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,501653
310M200US22380,22380,"Flagstaff, AZ Metro Area",134421,134437,137682
310M200US22420,22420,"Flint, MI Metro Area",425790,425790,412895
310M200US22500,22500,"Florence, SC Metro Area",205566,205571,207030
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147137,147137,147639
310M200US22540,22540,"Fond du Lac, WI Metro Area",101633,101633,101759
310M200US22660,22660,"Fort Collins, CO Metro Area",299630,299630,324122
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",280467,280515,279592
310M200US23060,23060,"Fort Wayne, IN Metro Area",416257,416255,427183
310M200US23420,23420,"Fresno, CA Metro Area",930450,930452,965974
310M200US23460,23460,"Gadsden, AL Metro Area",104430,104427,103531
310M200US23540,23540,"Gainesville, FL Metro Area",264275,264274,273377
310M200US23580,23580,"Gainesville, GA Metro Area",179684,179684,190761
310M200US23900,23900,"Gettysburg, PA Metro Area",101407,101413,101714
310M200US24020,24020,"Glens Falls, NY Metro Area",128923,128921,127345
310M200US24140,24140,"Goldsboro, NC Metro Area",122623,122623,124456
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",98461,98461,101842
310M200US24260,24260,"Grand Island, NE Metro Area",81850,81850,84755
310M200US24300,24300,"Grand Junction, CO Metro Area",146723,146723,148255
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",988938,988940,1027703
310M200US24420,24420,"Grants Pass, OR Metro Area",82713,82713,83599
310M200US24500,24500,"Great Falls, MT Metro Area",81327,81327,82344
310M200US24540,24540,"Greeley, CO Metro Area",252825,252837,277670
310M200US24580,24580,"Green Bay, WI Metro Area",306241,306241,314531
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",723801,723798,746593
310M200US24780,24780,"Greenville, NC Metro Area",168148,168148,175354
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",824112,824107,862463
310M200US25020,25020,"Guayama, PR Metro Area",84214,84214,80581
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",370702,370787,386144
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",251599,251602,260070
310M200US25220,25220,"Hammond, LA Metro Area",121097,121101,127049
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",152982,152982,150269
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",549475,549473,560849
310M200US25500,25500,"Harrisonburg, VA Metro Area",125228,125217,130649
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1212381,1212387,1214295
310M200US25620,25620,"Hattiesburg, MS Metro Area",142842,142857,148656
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",365497,365492,362896
