Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US46660,46660,"Valdosta, GA Metro Area",139588,139665,143317
310M200US46700,46700,"Vallejo-Fairfield, CA Metro Area",413344,413344,431131
310M200US47020,47020,"Victoria, TX Metro Area",94003,94003,98630
310M200US47220,47220,"Vineland-Bridgeton, NJ Metro Area",156898,156898,157389
310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1676822,1676817,1716624
310M200US47300,47300,"Visalia-Porterville, CA Metro Area",442179,442182,458198
310M200US47380,47380,"Waco, TX Metro Area",252772,252772,260430
310M200US47460,47460,"Walla Walla, WA Metro Area",62859,62859,63829
310M200US47580,47580,"Warner Robins, GA Metro Area",179605,179605,187516
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5636232,5636406,6033737
310M200US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",167819,167819,169993
310M200US48060,48060,"Watertown-Fort Drum, NY Metro Area",116229,116229,119103
310M200US48140,48140,"Wausau, WI Metro Area",134063,134063,135780
310M200US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",124454,124454,121336
310M200US48300,48300,"Wenatchee, WA Metro Area",110884,110887,114392
310M200US48540,48540,"Wheeling, WV-OH Metro Area",147950,147950,145205
310M200US48620,48620,"Wichita, KS Metro Area",630919,630919,641076
310M200US48660,48660,"Wichita Falls, TX Metro Area",151306,151476,151536
310M200US48700,48700,"Williamsport, PA Metro Area",116111,116108,116508
310M200US48900,48900,"Wilmington, NC Metro Area",254884,254884,272548
310M200US49020,49020,"Winchester, VA-WV Metro Area",128472,128473,133403
310M200US49180,49180,"Winston-Salem, NC Metro Area",640595,640577,655015
310M200US49340,49340,"Worcester, MA-CT Metro Area",916980,916976,930473
310M200US49420,49420,"Yakima, WA Metro Area",243231,243231,247687
310M200US49620,49620,"York-Hanover, PA Metro Area",434972,435002,440755
310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",565773,565804,553263
310M200US49700,49700,"Yuba City, CA Metro Area",166892,166892,169813
310M200US49740,49740,"Yuma, AZ Metro Area",195751,195750,203247
